action_chunk_0_0	action_chunk_0_1	action_chunk_0_2	action_chunk_0_3	action_chunk_0_4	action_chunk_0_5	action_chunk_0_6
0.226323588	0.034359082	0.07415772	-0.004746615	-0.008208346	-0.014588816	0.99609375
0.455106028	0.112252802	0.175781256	-0.013578054	0.015170561	-0.032616063	1.046875
0.643097801	-0.014248226	0.017623906	-0.015309708	0.002854887	-6.68678E-05	1.046875
0.706944063	-0.065499447	-0.099334712	-0.006824601	-0.033257176	0.008946755	1.0390625
0.483482145	-0.109429065	-0.563964842	-0.015482874	-0.022820163	0.061526224	0.94921875
-0.031278345	-0.080142653	-0.791015624	0.019972754	-0.088782081	0.043498978	1.0390625
-0.152320217	-0.085837233	-0.776367187	0.0217477	-0.08794712	-0.002069895	0.96484375
